1765017074.975757,behave-mgr,START
1765017074.988571,avoid,START
1765017075.011176,nudge,START
1765017075.021239,radiozoa,START
1765017075.036577,roam,START
1765017075.465145,scan,START
1765017075.488230,scout,START
1765017075.506763,swerve,START
1765017078.181672,avoid,0.000,0.000,0.000
1765017078.230232,nudge,0.000,0.000,0.000
1765017078.248465,avoid,0.000,0.000,0.000
1765017078.280253,radiozoa,0.280,0.109,0.000
1765017078.281516,nudge,0.000,0.000,0.000
1765017078.321328,avoid,0.000,0.000,0.000
1765017078.338134,nudge,0.000,0.000,0.000
1765017078.374162,avoid,0.000,0.000,0.000
1765017078.400526,nudge,0.000,0.000,0.000
1765017078.428326,avoid,0.000,0.000,0.000
1765017078.466928,nudge,0.000,0.000,0.000
1765017078.489548,avoid,0.000,0.000,0.000
1765017078.523723,nudge,0.000,0.000,0.000
1765017078.542895,radiozoa,0.280,0.109,0.000
1765017078.550731,avoid,0.000,0.000,0.000
1765017078.579511,scan,0.000,0.000,0.000
1765017078.594373,roam,0.000,0.100,0.000
1765017078.601093,nudge,0.000,0.000,0.000
1765017078.635552,avoid,0.000,0.000,0.000
1765017078.660413,scan,0.000,0.000,0.000
1765017078.666498,nudge,0.000,0.000,0.000
1765017078.697769,avoid,0.000,0.000,0.000
1765017078.721514,nudge,0.000,0.000,0.000
1765017078.721994,scan,0.000,0.000,0.000
1765017078.746188,roam,0.000,0.200,0.000
1765017078.752738,scout,0.000,0.000,0.000
1765017078.760493,avoid,0.000,0.000,0.000
1765017078.778119,nudge,0.000,0.000,0.000
1765017078.790663,scan,0.000,0.000,0.000
1765017078.811782,scout,0.000,0.000,0.000
1765017078.846087,avoid,0.000,0.000,0.000
1765017078.847150,nudge,0.000,0.000,0.000
1765017078.851007,scan,0.000,0.000,0.000
1765017078.855997,roam,0.000,0.300,0.000
1765017078.872204,scout,0.000,0.000,0.000
1765017078.906557,avoid,0.000,0.000,0.000
1765017078.907839,nudge,0.000,0.000,0.000
1765017078.922035,scan,0.000,0.000,0.000
1765017078.924932,radiozoa,0.000,0.000,0.000
1765017078.940019,roam,0.000,0.400,0.000
1765017078.946834,scout,0.000,0.000,0.000
1765017078.960954,avoid,0.000,0.000,0.000
1765017078.966515,swerve,0.000,0.000,0.000
1765017078.967375,nudge,0.000,0.000,0.000
1765017078.974650,scan,0.000,0.000,0.000
1765017079.012503,scout,0.000,0.000,0.000
1765017079.030110,swerve,0.000,0.000,0.000
1765017079.048593,scan,0.000,0.000,0.000
1765017079.054917,avoid,0.000,0.000,0.000
1765017079.056417,nudge,0.000,0.000,0.000
1765017079.076582,scout,0.000,0.000,0.000
1765017079.081435,roam,0.000,0.500,0.000
1765017079.105515,swerve,0.000,0.000,0.000
1765017079.111556,nudge,0.000,0.000,0.000
1765017079.115472,scan,0.000,0.000,0.000
1765017079.116222,avoid,0.000,0.000,0.000
1765017079.124292,radiozoa,0.000,0.000,0.000
1765017079.128300,scout,0.000,0.000,0.000
1765017079.166200,nudge,0.000,0.000,0.000
1765017079.175271,swerve,0.000,0.000,0.000
1765017079.176095,avoid,0.000,0.000,0.000
1765017079.176636,scan,0.000,0.000,0.000
1765017079.181144,scout,0.000,0.000,0.000
1765017079.220522,roam,0.000,0.600,0.000
1765017079.223887,nudge,0.000,0.000,0.000
1765017079.229738,swerve,0.000,0.000,0.000
1765017079.231466,scan,0.000,0.000,0.000
1765017079.232014,avoid,0.000,0.000,0.000
1765017079.250093,scout,0.000,0.000,0.000
1765017079.277385,roam,0.000,0.613,0.000
1765017079.278410,nudge,0.000,0.000,0.000
1765017079.280701,radiozoa,0.000,0.000,0.000
1765017079.283197,swerve,0.000,0.000,0.000
1765017079.294703,scan,0.000,0.000,0.000
1765017079.317580,avoid,0.000,0.000,0.000
1765017079.327031,scout,0.000,0.000,0.000
1765017079.329667,nudge,0.000,0.000,0.000
1765017079.356717,swerve,0.000,0.000,0.000
1765017079.365652,scan,0.000,0.000,0.000
1765017079.369469,roam,0.000,0.613,0.000
1765017079.374317,avoid,0.000,0.000,0.000
1765017079.378647,scout,0.000,0.000,0.000
1765017079.381271,radiozoa,0.277,0.113,0.000
1765017079.381885,nudge,0.000,0.000,0.000
1765017079.420495,swerve,0.000,0.000,0.000
1765017079.423909,scan,0.000,0.000,0.000
1765017079.428739,avoid,0.000,0.000,0.000
1765017079.430734,scout,0.000,0.000,0.000
1765017079.450150,roam,0.000,0.615,0.000
1765017079.456904,nudge,0.000,0.000,0.000
1765017079.477058,swerve,0.000,0.000,0.000
1765017079.488070,scan,0.000,0.000,0.000
1765017079.490350,avoid,0.000,0.000,0.000
1765017079.491467,scout,0.000,0.000,0.000
