1763532380.612805,behave-mgr,START
1763532380.626584,avoid,START
1763532380.653648,radiozoa,START
1763532380.671919,roam,START
1763532381.557561,scout,START
1763532381.661451,motor-ctrl,START
1763532381.662228,pfwd,START
1763532381.662805,sfwd,START
1763532381.663452,paft,START
1763532381.663855,saft,START
1763532381.672028,kros,START
1763532381.681995,motor-ctrl,0.00,0.00,0.00
1763532381.687705,motor-ctrl,0.00,0.00,0.00
1763532381.693604,motor-ctrl,0.00,0.00,0.00
1763532381.699088,motor-ctrl,0.00,0.00,0.00
1763532381.750896,motor-ctrl,0.00,0.00,0.00
1763532381.756385,motor-ctrl,0.00,0.00,0.00
1763532381.762650,motor-ctrl,0.00,0.00,0.00
1763532381.767555,motor-ctrl,0.00,0.00,0.00
1763532381.768600,avoid,0.000,0.000,0.000
1763532381.812905,motor-ctrl,0.00,0.00,0.00
1763532381.825660,motor-ctrl,0.00,0.00,0.00
1763532381.862789,radiozoa,0.160,0.240,0.000
1763532381.865282,motor-ctrl,0.00,0.00,0.00
1763532381.867688,motor-ctrl,0.00,0.00,0.00
1763532381.891337,motor-ctrl,0.05,0.05,0.00
1763532381.904407,motor-ctrl,0.05,0.05,0.00
1763532381.906583,motor-ctrl,0.05,0.05,0.00
1763532381.908652,motor-ctrl,0.05,0.05,0.00
1763532381.948186,motor-ctrl,0.08,0.08,0.00
1763532381.950641,motor-ctrl,0.08,0.08,0.00
1763532381.952834,motor-ctrl,0.08,0.08,0.00
1763532381.954944,motor-ctrl,0.08,0.08,0.00
1763532381.976365,avoid,0.209,0.000,0.000
1763532382.005820,motor-ctrl,0.12,0.12,0.00
1763532382.006587,pfwd,0.07
1763532382.008144,motor-ctrl,0.12,0.12,0.00
1763532382.008820,pfwd,0.07
1763532382.010409,motor-ctrl,0.12,0.12,0.00
1763532382.010997,pfwd,0.07
1763532382.012584,motor-ctrl,0.12,0.12,0.00
1763532382.013303,pfwd,0.07
1763532382.044317,motor-ctrl,0.14,0.12,0.00
1763532382.045120,pfwd,0.11
1763532382.046865,motor-ctrl,0.14,0.12,0.00
1763532382.047504,pfwd,0.11
1763532382.049122,motor-ctrl,0.14,0.12,0.00
1763532382.049752,pfwd,0.11
1763532382.051334,motor-ctrl,0.14,0.12,0.00
1763532382.051965,pfwd,0.11
1763532382.053254,saft,-0.07
1763532382.083045,motor-ctrl,0.14,0.12,0.00
1763532382.097606,radiozoa,0.134,0.336,0.000
1763532382.098262,pfwd,0.15
1763532382.099581,saft,-0.07
1763532382.100257,motor-ctrl,0.14,0.12,0.00
1763532382.100858,pfwd,0.15
1763532382.111542,saft,-0.07
1763532382.112359,motor-ctrl,0.14,0.12,0.00
